1451566800000.00,16,9,71,1021,1,2,0
1451653200000.00,15,8,67,1021,1,3,0
1451739600000.00,15,8,72,1019,1,5,0
1451826000000.00,16,9,66,1019,1,2,0
1451912400000.00,19,11,65,1017,1,5,0
1451998800000.00,19,12,69,1017,1,3,0
1452085200000.00,19,14,76,1018,0,2,0
1452171600000.00,16,13,88,1018,0,3,0
1452258000000.00,16,9,72,1016,1,10,0
1452344400000.00,16,9,67,1017,1,2,0
1452430800000.00,17,9,69,1017,1,2,0
1452517200000.00,18,10,67,1015,2,5,0
1452603600000.00,18,13,79,1014,1,6,0
1452690000000.00,16,12,83,1016,1,10,0
1452776400000.00,13,10,86,1016,1,10,0
1452862800000.00,13,9,78,1014,1,13,0
1452949200000.00,14,8,75,1016,1,5,0
1453035600000.00,12,8,81,1015,1,5,0
1453122000000.00,12,9,90,1015,0,8,0
1453208400000.00,10,8,87,1018,0,6,0
1453294800000.00,12,7,80,1020,1,8,0
1453381200000.00,12,7,87,1019,1,3,0
1453467600000.00,14,7,74,1020,1,6,0
1453554000000.00,10,8,91,1019,0,6,0
1453640400000.00,12,6,77,1017,1,8,0
1453726800000.00,14,8,75,1015,1,3,0
1453813200000.00,17,10,69,1014,1,6,0
1453899600000.00,17,9,69,1015,1,3,0
1453986000000.00,18,11,68,1017,1,2,0
1454072400000.00,21,14,67,1015,1,5,0
1454158800000.00,18,13,77,1016,1,6,0
1454245200000.00,17,8,65,1017,2,8,0
1454331600000.00,15,6,58,1018,2,8,0
1454418000000.00,14,6,58,1018,2,8,0
1454504400000.00,16,5,56,1017,2,8,0
1454590800000.00,16,6,61,1016,1,3,0
1454677200000.00,17,7,59,1013,1,5,0
1454763600000.00,18,11,67,1015,2,8,0
1454850000000.00,16,9,68,1017,2,6,0
1454936400000.00,17,11,75,1015,1,5,0
1455022800000.00,18,9,63,1013,1,3,0
1455109200000.00,19,7,50,1011,2,10,0
1455195600000.00,19,7,48,1013,2,6,0
1455282000000.00,18,7,53,1014,3,10,0.25
1455368400000.00,17,9,62,1017,2,8,0
1455454800000.00,17,8,58,1019,2,8,0
1455541200000.00,18,7,52,1020,2,8,0
1455627600000.00,19,7,48,1019,2,8,0
1455714000000.00,18,13,74,1017,1,8,0
1455800400000.00,22,15,71,1015,1,6,0
1455886800000.00,23,17,70,1014,2,8,0
1455973200000.00,21,12,68,1015,2,13,0
1456059600000.00,19,9,57,1015,2,11,0
1456146000000.00,21,7,47,1013,4,8,0
1456232400000.00,22,8,48,1013,2,3,0
1456318800000.00,22,9,48,1015,3,8,0
1456405200000.00,22,9,46,1018,3,8,0
1456491600000.00,22,11,50,1018,2,5,0
1456578000000.00,23,13,59,1019,2,3,0
1456664400000.00,24,14,58,1019,2,5,0
1456750800000.00,24,13,56,1016,2,2,0
1456837200000.00,24,13,48,1015,2,3,0
1456923600000.00,26,13,47,1015,2,6,0
1457010000000.00,27,13,49,1013,2,8,0
1457096400000.00,24,12,53,1013,3,11,4.06
1457182800000.00,22,14,65,1013,3,11,0
1457269200000.00,23,15,63,1013,2,8,0
1457355600000.00,23,14,61,1012,3,10,0
1457442000000.00,23,13,58,1012,2,5,0
1457528400000.00,24,14,56,1014,2,5,0
1457614800000.00,27,16,61,1013,2,6,12.95
1457701200000.00,24,16,62,1010,3,11,0
1457787600000.00,23,14,58,1011,3,13,0
1457874000000.00,23,13,56,1014,3,11,0
1457960400000.00,23,12,56,1015,3,5,0
1458046800000.00,22,12,53,1013,3,13,0
1458133200000.00,25,12,47,1011,2,6,0
1458219600000.00,27,14,48,1010,3,11,0
1458306000000.00,27,14,51,1010,3,8,2.03
1458392400000.00,27,15,51,1010,2,5,0
1458478800000.00,26,10,40,1012,4,13,0
1458565200000.00,23,6,33,1010,3,18,0
1458651600000.00,24,8,38,1010,3,11,0
1458738000000.00,28,9,39,1013,3,3,0
1458824400000.00,29,12,37,1013,3,5,0
1458910800000.00,23,14,52,1014,3,11,0
1458997200000.00,26,11,44,1013,3,13,0
1459083600000.00,24,11,41,1013,3,6,0
1459170000000.00,26,11,40,1012,3,10,0
1459256400000.00,28,12,40,1012,2,5,0
1459342800000.00,29,11,35,1010,2,3,0
1459429200000.00,30,12,35,1007,3,11,0
1459515600000.00,32,13,34,1009,4,6,0
1459602000000.00,34,14,30,1009,3,5,0
1459692000000.00,32,11,27,1008,3,6,0
1459778400000.00,31,11,28,1008,4,13,0
