BLR,BANGALORE,12.9716,77.5946,920
CHN,CHENNAI,13.0827,80.2707,6.70
DEL,DELHI,28.7041,77.1025,219.00
MUM,MUMBAI,19.0760,72.8777,14.00
KOL,KOLKATTA,22.5726,88.3639,9.10
JPR,JAIPUR,26.9124,75.7873,431.00
KAT,KATHMANDU,27.7172,85.3240,1400.00
